name,ops,image_url,youtube_url,Unnamed: 4,Human Needs_Observer,Human Needs_Decider,Human Needs_Preferences,Letter_Observer,Letter_Decider,Animal_Energy Animal,Animal_Info Animal,Animal_Dominant Animal,Sexual Modality_Sensory,Sexual Modality_Extraverted Decider
Eric Steacy,MF-Ti/Si-SB/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/uLF-EzAGHONs9MTZjlmqeg/XI5qQSQiICB3Yh4spySIf_5NHOtMxFWGNXOvDX8uxRRmXPIPjPp0sjoxybfW3mxVpJ8Wq2cWAgjKcPNcw8Iw-g/JTBObtmnnOIkM6G6XVsuCYYqs0OdkAKlWJLYKmGxOyg,https://www.youtube.com//watch?v=B2WVEla34Tk,,Oe,De,DD,Ti,Si,Sleep,Blast,Energy,M,F
Dr Anna Lembke,MF-Ti/Si-SB/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/A4__ZHY186fgcANUkbFyow/nJne3VuWf7gi7YfS99U1z2uFJ8EFv-8wEWrV-sZpqNg2hhKrwalZnEOGO7NbYaeGsBO5z32tJQDVKxDJ7McAqw/ce98nMFjQ-qqTtdqo1QUWl9yAe4jlpmZtpSjWbTffaQ,https://www.youtube.com//watch?v=PQlojhsNTfA,,Oe,De,DD,Ti,Si,Sleep,Blast,Energy,M,F
Dr. Anna Lembke,MF-Ti/Si-SB/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/Hm_XJyAWn3g1V3ncJNd46w/eE1_h876MGQIqsemSMHCqZC1BGNJUgykLsYDGHtwHkDhWs03cokvuFcr3IuDqxE2zWukufpKF2ZIkEMIviHoHw/A5Y4E5W3Kk1ytu_mzO4hlzltg8ne8mXgYIm4fxeqC60,https://www.youtube.com//watch?v=PQlojhsNTfA,,Oe,De,DD,Ti,Si,Sleep,Blast,Energy,M,F
Evan Smith,MF-Ti/Si-SB/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/q_4pJtdIfJkcR0yjXaxBnQ/E84JKOmEesqpCKZIraxWyAjJLUjQc_so-F19AW85UIR-UUNrZBOtI4QVZUSzknU9GeQe7E_Ks6Ah3ZJzrhDreb0yRaad3FpK-H1x4a-V3Ds/mq-r_RW5FcW2XRYexyL3k7vpys8Eaqa3PqXrHWGpvI4,https://www.youtube.com//watch?v=Ta-mu54cqnQ,,Oe,De,DD,Ti,Si,Sleep,Blast,Energy,M,F
Michael Dubin,MF-Ti/Si-SB/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/LcFznULsksTr0MrJhZgy9A/5ngrTVk81FaHURFQHsbZyAaUa07Pll2bAjxGispaJjPsyS9tXsfIiaRuyGNDFZ40dWZK0jHD8zli_r8H_ZLp1g/J5UZHl9oeEM0f0YZavDSa0WGVFmFGN3u1-ytb4B8J5E,https://www.youtube.com//watch?v=Rh1FXXW-qIk,,Oe,De,DD,Ti,Si,Sleep,Blast,Energy,M,F
Nathan S,MF-Ti/Si-SB/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/QFIUwdremNDWclzOlB9UJw/k8jljl1qepfi5roeLKLFmzR4sOabsVgYHwzs-UjxqmtCVBWrWmHFXdQabnf58JoPDvw2tfyVe03ChpzYlzcZrw/eyGt9EhEPoL4nwPdoZbxIaW7ucapXN2FxnOcOPSILno,https://www.youtube.com//watch?v=0GLpsxFia1o,,Oe,De,DD,Ti,Si,Sleep,Blast,Energy,M,F
Gretchen Rubin,FF-Ti/Si-SB/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/Jx9JRqMVoN8-XJqLfMCBeg/8j_LNYJsxaErZDLcZHfu7gYN4WEH4dDR2vN1k_ODtwJ9RtYdAivwuQKlHScLixhiVHHAH8WInoTFX6GNX4VYng/0TOhnXu0kOGEoLx8stDdVDA1rsqYQTHGaA82Y4CyWf8,https://www.youtube.com//watch?v=EVHgcQk2TBg,,Oe,De,DD,Ti,Si,Sleep,Blast,Energy,F,F
Stanislaw Baranski,FF-Ti/Si-SB/P(C),https://v5.airtableusercontent.com/v1/21/21/1696708800000/194WbD1DO_VI6bwNvQnF8Q/APQE05ObRnPRsvyrudtKf_f9Rt9dEX1uty88wts-REMWA-kXj279vMdazpa2kqiVL-an7LcvGMDld7czA8KU4A/5dCquV4BKb7CRhNyqTxCesPXENmGe6olnG1f3Pziq_w,https://www.youtube.com//watch?v=lQxJSiRjdHI,,Oe,De,DD,Ti,Si,Sleep,Blast,Energy,F,F
Ben Stiller,MF-Ti/Si-SB/C(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/XnmMNi5uJZ1wQ54qX-g7Bw/2YKfQvrAMdy16Br2tDbOFvPTdqqC4Y6yMRRauFYgmhxpQte1qyUrPZq0qlm3COuPeqpn8V1k-HrrSFJ7W00c-g/cSmDZ_YVcDbVbjIPT4xUleKJx9zNkCBaL0kYWSzEYnM,https://www.youtube.com//watch?v=BY5KvyrdI2U,,Oe,De,DD,Ti,Si,Sleep,Blast,Info,M,F
Peter Thiel,MF-Ti/Si-SB/C(P),https://v5.airtableusercontent.com/v1/21/21/1696708800000/ighTiKY4Y_Jxi19yMQbp8Q/xrWyYWTVQKKyA62YgSe3_f86F4cIebSTICRYzB4srTekyL97M1Ov_fZd0bFhENKxmp4dZn_oY_f2fvN48mhxpg/_uujLGiFH1g_-rXKX-FbEQruS7tLACOsJLpzHVq2Dc8,https://www.youtube.com//watch?v=yODORwGmHqo,,Oe,De,DD,Ti,Si,Sleep,Blast,Info,M,F
Sigmund Freud,MM-Ti/Si-SB/?(?),https://v5.airtableusercontent.com/v1/21/21/1696708800000/h4XVrFwUWT6tzhyF8clZXA/xYK8oHXqIfiVH48G2w2nueZItWTMovlNWleIdDSMsTcHRzXEV05XjZYnlsjeza64hT8owaXeRbQTHnzUYxYKGg/bIzT6Ia8nxvW-vdnFGbeKIHJGKG5qEm3ml6yOgAcxf8,https://www.youtube.com//watch?v=YFWLwYyrMRE,,Oe,De,DD,Ti,Si,,,,M,M
Billie Eilish,MM-Ti/Se-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/Q6ZHrMLZH-mX6cP1grjNEg/aKL8P_CiM-g31OHbslpyoihTd5b06-slh6mNIZCcWzpX1E1XyvH1s4cE-2PQaWnWSFwnhlxr70_OfF0uT1FZOA/qh2AAueB-vczEGTHjfLkcq2NBvAwfbaE-YURKB8uM0w,https://www.youtube.com//watch?v=B8DE6nKVmtI,,Oe,De,DD,Ti,Se,Sleep,Consume,Energy,M,M
Billy Bob Thornton,MM-Ti/Se-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/nCrPWb1jlSwtSxiki3cpoA/wWvxd1o90oh6E9JLNb050n1f7yXa2Vq1BVw-dJgCA38OTpESr6fmh4v9saAFA0e0THRt6_DWoIP8prf3VVjE8A/-B_xmug6YiTG7uNFDpJoVLyfHjeZ1X1m2SO6ZziZmxg,https://www.youtube.com//watch?v=x5uIg4gG_Us,,Oe,De,DD,Ti,Se,Sleep,Consume,Energy,M,M
Katharina B.,MM-Ti/Se-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/cqnHozPVfkpL5pyKbJ1JTw/cR4p02PJ0yapratNXvZ_qKPuSRmxKmKYvpCM9xqUJ8hpXL-EgCIqpMJnY83nIT5QEKrqjrU7FkieS7D2RB1bmw/XISGGlwkoY2x4VBpiQoniLl5pQ3nAh6IRUPxZkkDxuQ,https://www.youtube.com//watch?v=yoi5rmtueQU,,Oe,De,DD,Ti,Se,Sleep,Consume,Energy,M,M
James Comey,MF-Ti/Se-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/-ZdZx5n2ZS_sBQz7gaV5DQ/Cjko66HV9uXZ8WKf2aHa-B5T7PP9ZtLcf9oXEf-V1dGVSb98Dg9BMf1tVRjcWI2_7kLhFo0qhkX86YwSKoTFjA/YVXR2T2jCk7EiC_m96PmsPfDAe2zfnWCaHJxDbYWqpQ,https://www.youtube.com//watch?v=9xqGu66D6VU,,Oe,De,DD,Ti,Se,Sleep,Consume,Energy,M,F
Benicio del Toro,MF-Ti/Se-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/yDITig2Dn9Xig0QBq1q-3w/4Nwmd3MtowaBQtJWJheomG9D9iDR1NInsTGjpK7-AJcO6ZTxKLDyb8EGGOOJDFQ4MxHsOXIWiOh3fbqVukJ2_A/3Gon9khCjFBKCTnoDPS6iGS4mEmKnrxI1uTw5MvM_Xc,https://www.youtube.com//watch?v=E5PT-zxSf0o,,Oe,De,DD,Ti,Se,Sleep,Consume,Energy,M,F
Floris,MF-Ti/Se-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/HJfGSEaKHCA4Fh08D7P3Ag/m9rA-DbCmpmjBxsm-so2W7QH4fFBOeLeSVYMc5At53VsnCdX_xZIXt5us54OJPNJ4MpAq3NkmxNWpJAdP5Xnxw/pJTnodxnggNmVxWjVFyLmXPDYtQD8diTS2YZ7BOk5iI,https://www.youtube.com//watch?v=nkZfM2QHaSg,,Oe,De,DD,Ti,Se,Sleep,Consume,Energy,M,F
Glenn Jacobs,MF-Ti/Se-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/IBj0y5nqpVCMDo5Uk0pp5Q/6xdyCadSrmcSawmxTg_hdlwn3mN-JLRItAxzkYvQk72gCpO-OqpOxEjKk4Kp_HnJM0ZSf_PBgNXlPf2aVG_kSQ/i9sYNZJSFC-ECsTOwIZcOU0AlJsmCnwHs4gxOWehmvg,https://www.youtube.com//watch?v=keZk-j7nDJQ.,,Oe,De,DD,Ti,Se,Sleep,Consume,Energy,M,F
Klaus S,MF-Ti/Se-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/w4BsXstCiqdxr74CY9M2QA/WzLcg3yV934FA2MMmDJ5pdauZQchb2unjW9PqRFWyql4WfyYv6AtkrEmj1nSRQ2KXKt2ovmWCSqQd45B5aMytg/miuzcessTCTi1hDcx9GW4zP85h_jdY6YBoNLBokCGrA,https://www.youtube.com//watch?v=GCxvWSipIXo,,Oe,De,DD,Ti,Se,Sleep,Consume,Energy,M,F
Clint Eastwood,FM-Ti/Se-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/qK37M_ZPOPu_EsXMBqHtLg/PTkgmdnSaK3I8ZMoaGKZlrs0D-ngFKCVtQOjCbZgOi2IV38rnG0WGgcgncMJjlHdUl9MwDsMVTyO8TISGYHmvQ/Dwl-oySOYpD4wz6hqCEPaAhcc-X06jJqx-_PhDjFMgY,https://www.youtube.com//watch?v=4lX-OiIzhT4,,Oe,De,DD,Ti,Se,Sleep,Consume,Energy,F,M
Daniel Craig,FM-Ti/Se-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/7cTbjidyTrvIPirFFJcI6Q/V_vTMQi6a9U0h9CobuWE2-M5YfEsb43W9rbVeRscSwN35s1-z-ve4I_RMQ4AYA1yTKaRAPFlONkAlIz5gb-LOg/43TUqQdXH5NA0KhPaxJ9XD85fb12LsvV7DeqzPGO7VY,https://www.youtube.com//watch?v=8NyMj_TBjy8,,Oe,De,DD,Ti,Se,Sleep,Consume,Energy,F,M
Sean Penn,FM-Ti/Se-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/jFbvUNH2rhvjsueZ6MzESA/-uH2yH2bUe9bI1sDk-ExlOhutHdPJCNw4JfIY5PsE3raMv-kfyeKP3_A8ZfaIC0KL8rJ1EhQhyt6zKFBoaRuPw/d1c3bteJcwEkXT56rSG2tdJo_7yUfKeZJachcr0gSDA,https://www.youtube.com//watch?v=BdQqACyTn2A,,Oe,De,DD,Ti,Se,Sleep,Consume,Energy,F,M
Tom Hardy,FM-Ti/Se-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/TDeoXTjprWRhybwaOtUj7w/4rlPpnRS51Uz81LjgkM81w5aiwjsRRpc9wbg2Z6oITqo7kW3mTjakl2Ppf3wWEZeBlcF6j2ZQi8vouugRl1mSA/snAUj4OArdEIFS6bTYDgVVCH20PYY9UX5SR32XczzXE,https://www.youtube.com//watch?v=lS4CfI6GSn0,,Oe,De,DD,Ti,Se,Sleep,Consume,Energy,F,M
Mickey Rourke,FM-Ti/Se-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/Lz7WVgWj7fQfLcoSdY06cQ/BBwYBSE9IcWYi73yiBcXL5MNtixitOMi8s4Yf6pfW1aFx5QfHEaGBWbL2p9zP9kJh7NWIbGIvvuOHrPuYSDhig/SE-el9WdrR_V0F7DMiGGiuCHqUPbPl_oEVmRHmjLPl0,https://www.youtube.com//watch?v=ZYr-o_LhSiQ,,Oe,De,DD,Ti,Se,Sleep,Consume,Energy,F,M
Dorian Yates,FM-Ti/Se-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/U35UrqGM62PsOEAP7w6WYQ/pLAg7YYpw9KOnYTCG5iZ6yOXI9xoLD6hMP6sCYRwbgiSOZb4bOVpmdXfra_nEWDx9QoyKLzmxKn11A2n0Rl3iw/PWb4uNUqXlPVSUFIJdxcuPmNn-S_TU5EfE5-vqVOcM0,https://www.youtube.com//watch?v=5JDFIpTm278,,Oe,De,DD,Ti,Se,Sleep,Consume,Energy,F,M
Pierce Brosnan,FM-Ti/Se-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/cBm3PsM-Ufmg0ru36mm7NQ/49zi4uVbdK-Zi6ylxR-s_Dn1-ldt_niUrtR5t5L-zVedVCz4SD2eauuqbsZgXzy5pwWxn-YUvAhcLtKN8KJseA/Aw_3IN234L8OMM-5Mqi0pZ1U3n-MmJBQo1rB-6G7y48,https://www.youtube.com//watch?v=gD6YdIPKzgU,,Oe,De,DD,Ti,Se,Sleep,Consume,Energy,F,M
Timo Aun,FM-Ti/Se-CS/P(B),https://v5.airtableusercontent.com/v1/21/21/1696708800000/3zH4fvKdAfKrslNi63Ik6g/4c7ogWPz3yAJD0E7AmKNXHZitSZR3XAFXG4r3XjUhN_RrtneJMUvn3kQm9c7fbfatbjQG0nSnykAgtknzU4eiw/3SxFv1heA0i8N58LCphskMmQ6kLmgHUX_-C3Ydd1EJA,https://www.youtube.com//watch?v=bCOb-tVBz9A,,Oe,De,DD,Ti,Se,Sleep,Consume,Energy,F,M
